Fecha,Close,Apertura,Máximo,Mínimo,Vol.,% var.
14.10.2022,"98,575","98,570","98,575","98,565","15,33K","0,02%"
13.10.2022,"98,560","98,550","98,570","98,545","18,58K","0,01%"
12.10.2022,"98,550","98,555","98,575","98,545","12,24K","-0,01%"
11.10.2022,"98,555","98,530","98,560","98,525","14,07K","0,02%"
10.10.2022,"98,535","98,580","98,580","98,530","13,56K","-0,04%"
07.10.2022,"98,570","98,615","98,625","98,570","15,66K","-0,06%"
06.10.2022,"98,625","98,640","98,650","98,615","14,10K","-0,01%"
05.10.2022,"98,635","98,655","98,660","98,620","9,84K","-0,03%"
04.10.2022,"98,660","98,655","98,700","98,650","20,41K","0,00%"
03.10.2022,"98,660","98,585","98,675","98,575","10,52K","0,07%"
30.09.2022,"98,590","98,580","98,605","98,580","14,98K","0,04%"
29.09.2022,"98,555","98,505","98,580","98,470","28,25K","0,06%"
28.09.2022,"98,500","98,475","98,530","98,465","40,73K","0,04%"
27.09.2022,"98,465","98,435","98,485","98,435","11,72K","0,03%"
26.09.2022,"98,440","98,460","98,460","98,410","17,99K","-0,03%"
23.09.2022,"98,470","98,465","98,485","98,450","13,49K","0,01%"
22.09.2022,"98,465","98,435","98,475","98,410","14,87K","0,01%"
21.09.2022,"98,455","98,455","98,470","98,425","18,34K","0,02%"
20.09.2022,"98,435","98,455","98,455","98,425","20,35K","-0,50%"
19.09.2022,"98,934","98,935","98,940","98,925","13,08K","0,01%"
16.09.2022,"98,925","98,950","98,950","98,920","157,04K","-0,02%"
15.09.2022,"98,945","98,940","98,950","98,915","115,64K","0,01%"
14.09.2022,"98,935","98,930","98,940","98,910","130,78K","0,00%"
13.09.2022,"98,935","98,955","98,955","98,930","131,03K","-0,02%"
12.09.2022,"98,955","98,960","98,960","98,935","115,60K","-0,01%"
09.09.2022,"98,965","98,950","98,975","98,940","131,17K","-0,01%"
08.09.2022,"98,975","99,055","99,060","98,945","313,81K","-0,08%"
07.09.2022,"99,050","99,050","99,065","99,035","176,01K","-0,01%"
06.09.2022,"99,055","99,045","99,135","99,020","282,09K","0,01%"
05.09.2022,"99,045","99,060","99,070","99,025","95,54K","-0,03%"
02.09.2022,"99,070","99,060","99,085","99,045","166,59K","0,02%"
01.09.2022,"99,055","99,040","99,065","99,025","141,24K","-0,01%"
