Fecha,BONOMX10,BONOUSA10,Close
11/12/19 0:00,6.84,1.793,5.047
13/12/19 0:00,6.8,1.824,4.976
16/12/19 0:00,6.77,1.873,4.897
17/12/19 0:00,6.8,1.875,4.925
18/12/19 0:00,6.77,1.922,4.848
19/12/19 0:00,6.87,1.922,4.948
20/12/19 0:00,6.91,1.919,4.991
23/12/19 0:00,6.88,1.928,4.952
24/12/19 0:00,6.87,1.903,4.967
26/12/19 0:00,6.84,1.894,4.946
27/12/19 0:00,6.81,1.877,4.933
30/12/19 0:00,6.82,1.886,4.934
31/12/19 0:00,6.84,1.919,4.921
02/01/20 0:00,6.78,1.877,4.903
03/01/20 0:00,6.714,1.793,4.921
06/01/20 0:00,6.77,1.809,4.961
07/01/20 0:00,6.83,1.811,5.019
08/01/20 0:00,6.83,1.874,4.956
09/01/20 0:00,6.85,1.855,4.995
10/01/20 0:00,6.764,1.82,4.944
13/01/20 0:00,6.83,1.848,4.982
14/01/20 0:00,6.83,1.813,5.017
15/01/20 0:00,6.8,1.786,5.014
16/01/20 0:00,6.82,1.809,5.011
17/01/20 0:00,6.802,1.825,4.977
20/01/20 0:00,6.79,1.823,4.967
21/01/20 0:00,6.83,1.774,5.056
22/01/20 0:00,6.82,1.769,5.051
23/01/20 0:00,6.78,1.731,5.049
24/01/20 0:00,6.76,1.686,5.074
27/01/20 0:00,6.73,1.613,5.117
28/01/20 0:00,6.706,1.661,5.045
29/01/20 0:00,6.62,1.581,5.039
30/01/20 0:00,6.61,1.591,5.019
31/01/20 0:00,6.6,1.505,5.095
04/02/20 0:00,6.64,1.603,5.037
05/02/20 0:00,6.65,1.649,5.001
06/02/20 0:00,6.638,1.644,4.994
07/02/20 0:00,6.62,1.582,5.038
10/02/20 0:00,6.58,1.563,5.017
11/02/20 0:00,6.558,1.602,4.956
12/02/20 0:00,6.57,1.637,4.933
13/02/20 0:00,6.57,1.619,4.951
14/02/20 0:00,6.53,1.588,4.942
17/02/20 0:00,6.54,1.578,4.962
18/02/20 0:00,6.53,1.559,4.971
19/02/20 0:00,6.5,1.568,4.932
20/02/20 0:00,6.548,1.519,5.029
21/02/20 0:00,6.522,1.473,5.049
24/02/20 0:00,6.49,1.37,5.12
25/02/20 0:00,6.46,1.355,5.105
26/02/20 0:00,6.498,1.335,5.163
27/02/20 0:00,6.68,1.274,5.406
28/02/20 0:00,6.83,1.163,5.667
02/03/20 0:00,6.56,1.152,5.408
03/03/20 0:00,6.42,0.999,5.421
04/03/20 0:00,6.31,1.055,5.255
05/03/20 0:00,6.36,0.917,5.443
06/03/20 0:00,6.35,0.773,5.577
09/03/20 0:00,6.67,0.559,6.111
10/03/20 0:00,6.8,0.8,6
11/03/20 0:00,7.26,0.877,6.383
12/03/20 0:00,7.68,0.812,6.868
13/03/20 0:00,7.63,0.983,6.647
17/03/20 0:00,7.75,1.069,6.681
18/03/20 0:00,8.24,1.183,7.057
19/03/20 0:00,8.09,1.158,6.932
20/03/20 0:00,7.32,0.885,6.435
23/03/20 0:00,7.79,0.763,7.027
24/03/20 0:00,7.97,0.858,7.112
25/03/20 0:00,7.74,0.869,6.871
26/03/20 0:00,7.28,0.848,6.432
27/03/20 0:00,7.05,0.676,6.374
30/03/20 0:00,7.25,0.726,6.524
31/03/20 0:00,7.04,0.668,6.372
01/04/20 0:00,7.02,0.602,6.418
02/04/20 0:00,7.09,0.611,6.479
03/04/20 0:00,7.24,0.599,6.641
06/04/20 0:00,7.32,0.678,6.642
07/04/20 0:00,7.11,0.726,6.384
08/04/20 0:00,7.06,0.771,6.289
13/04/20 0:00,7.05,0.77,6.28
14/04/20 0:00,6.82,0.75,6.07
15/04/20 0:00,6.83,0.635,6.195
16/04/20 0:00,6.79,0.617,6.173
17/04/20 0:00,6.83,0.642,6.188
20/04/20 0:00,6.93,0.616,6.314
21/04/20 0:00,6.9,0.566,6.334
22/04/20 0:00,6.68,0.618,6.062
23/04/20 0:00,6.67,0.603,6.067
24/04/20 0:00,6.87,0.605,6.265
27/04/20 0:00,6.84,0.664,6.176
28/04/20 0:00,6.8,0.616,6.184
29/04/20 0:00,6.59,0.628,5.962
30/04/20 0:00,6.465,0.646,5.819
04/05/20 0:00,6.38,0.631,5.749
05/05/20 0:00,6.3,0.662,5.638
06/05/20 0:00,6.26,0.709,5.551
07/05/20 0:00,5.94,0.639,5.301
08/05/20 0:00,5.78,0.685,5.095
11/05/20 0:00,5.89,0.707,5.183
12/05/20 0:00,5.87,0.667,5.203
13/05/20 0:00,5.98,0.654,5.326
14/05/20 0:00,6,0.617,5.383
15/05/20 0:00,6.03,0.644,5.386
18/05/20 0:00,5.98,0.726,5.254
19/05/20 0:00,5.97,0.692,5.278
20/05/20 0:00,6.05,0.69,5.36
21/05/20 0:00,6.1,0.68,5.42
22/05/20 0:00,6.2,0.657,5.543
25/05/20 0:00,6.17,0.659,5.511
26/05/20 0:00,6.07,0.695,5.375
27/05/20 0:00,6.14,0.695,5.445
28/05/20 0:00,6.14,0.697,5.443
29/05/20 0:00,6.11,0.653,5.457
01/06/20 0:00,6.11,0.667,5.443
02/06/20 0:00,6.12,0.687,5.433
03/06/20 0:00,6.08,0.746,5.334
