Fecha,Close,Apertura,Máximo,Mínimo,Vol.,% var.
22.05.2020,"156,83","156,64","157,30","156,61","232,99K","0,15%"
21.05.2020,"156,59","156,48","156,92","156,45","294,93K","0,02%"
20.05.2020,"156,56","156,41","156,69","155,97","239,03K","0,30%"
19.05.2020,"156,09","155,89","156,42","155,64","193,04K","0,26%"
18.05.2020,"155,69","157,11","157,17","155,66","190,15K","-0,88%"
15.05.2020,"157,06","157,31","157,75","156,94","142,04K","-0,19%"
14.05.2020,"157,36","156,86","157,55","156,81","191,52K","0,27%"
13.05.2020,"156,94","156,55","157,13","156,47","206,56K","0,36%"
12.05.2020,"156,38","155,94","156,59","155,72","209,38K","0,43%"
11.05.2020,"155,70","156,33","156,45","155,69","152,81K","-0,40%"
08.05.2020,"156,33","156,83","157,34","156,23","144,58K","-0,45%"
07.05.2020,"157,03","156,02","157,16","155,80","219,21K","0,74%"
06.05.2020,"155,88","156,53","156,53","155,44","202,81K","-0,45%"
05.05.2020,"156,58","156,83","156,89","156,27","142,42K","-0,18%"
04.05.2020,"156,86","157,17","157,39","156,64","123,87K","0,06%"
01.05.2020,"156,77","156,84","157,41","156,67","126,11K","-0,17%"
30.04.2020,"157,03","156,89","157,55","156,63","271,71K","0,07%"
29.04.2020,"156,92","157,13","157,55","156,72","125,59K","-0,14%"
28.04.2020,"157,14","156,36","157,36","156,28","132,44K","0,39%"
27.04.2020,"156,53","157,23","157,34","156,39","137,26K","-0,54%"
24.04.2020,"157,38","157,33","157,63","157,02","121,18K","0,13%"
23.04.2020,"157,17","157,08","157,47","156,81","166,83K","0,06%"
22.04.2020,"157,08","157,75","158,06","156,80","166,64K","-0,42%"
21.04.2020,"157,73","157,20","158,16","157,03","149,62K","0,47%"
20.04.2020,"157,00","156,73","157,23","156,64","107,86K","0,27%"
17.04.2020,"156,58","156,67","157,56","156,08","196,90K","-0,43%"
16.04.2020,"157,25","156,94","157,48","156,63","178,89K","0,24%"
15.04.2020,"156,88","155,27","157,14","155,22","213,07K","1,04%"
